date,open,high,low,close,volume,average,barCount
2020-05-28,173.65,173.65,169.33,170.51,2077361.0,171.815,14705
2020-05-29,170.19,171.44,168.44,169.86,2007828.0,169.911,14168
2020-06-01,169.36,170.47,167.78,169.5,1952927.0,169.402,15644
2020-06-02,170.75,173.5,169.5,170.94,1901347.0,171.232,14136
2020-06-03,173.64,178.85,173.02,178.05,2303927.0,177.04,17516
2020-06-04,176.38,177.69,175.26,176.43,1596432.0,176.25,12417
2020-06-05,183.11,187.83,182.43,184.83,4001316.0,185.465,26990
2020-06-08,183.96,185.99,179.85,181.66,2296652.0,181.593,16652
2020-06-09,178.06,180.42,177.0,178.16,2197021.0,178.943,16535
2020-06-10,177.85,178.76,174.95,175.43,2054580.0,176.36,16304
2020-06-11,170.0,170.14,163.21,163.29,4455448.0,166.683,35815
2020-06-12,168.21,168.56,162.46,166.18,2047365.0,165.518,16277
2020-06-15,161.72,169.14,161.41,167.93,1625477.0,166.223,13825
2020-06-16,173.29,174.48,168.36,170.97,2177248.0,171.783,18187
2020-06-17,172.2,173.55,170.67,171.17,2065590.0,172.082,15451
2020-06-18,170.03,171.89,169.72,170.85,1747738.0,170.797,14016
2020-06-19,173.53,173.53,166.8,167.85,3534372.0,169.403,25097
2020-06-22,167.13,168.85,165.9,168.2,1440617.0,167.774,11820
2020-06-23,170.37,171.26,169.24,169.36,1691410.0,170.189,13502
2020-06-24,167.71,168.95,165.03,165.55,2104287.0,166.448,16718
2020-06-25,165.15,167.24,162.78,167.02,2338770.0,164.671,18077
2020-06-26,167.04,168.14,162.13,162.64,2895854.0,163.928,22219
2020-06-29,163.84,165.94,162.2,165.51,1762619.0,164.631,12783
2020-06-30,164.75,170.21,164.36,169.07,2674437.0,167.499,18494
2020-07-01,169.32,170.73,166.23,166.88,1469497.0,167.683,11688
2020-07-02,169.18,170.69,167.88,169.08,1435315.0,169.309,10586
2020-07-06,171.08,172.36,170.11,172.16,1709720.0,171.53,13495
2020-07-07,170.27,172.2,169.25,169.78,1377201.0,170.565,10977
2020-07-08,169.59,172.28,168.79,169.04,1944384.0,169.944,14942
2020-07-09,169.49,169.49,164.72,165.99,2038075.0,166.707,15510
2020-07-10,166.0,167.26,164.66,166.39,1486335.0,166.174,12190
2020-07-13,168.23,170.97,166.71,169.17,1950543.0,169.301,13596
2020-07-14,168.26,172.59,168.01,171.89,1839934.0,171.044,13149
2020-07-15,174.77,175.48,173.42,174.39,1525412.0,174.39,11972
2020-07-16,174.22,178.38,173.97,176.87,2016003.0,176.929,16024
2020-07-17,177.84,182.52,176.89,181.25,3952394.0,180.926,25158
2020-07-20,180.44,181.04,176.29,177.39,1874889.0,177.781,14345
2020-07-21,178.0,180.4,177.83,178.66,1365540.0,179.204,10919
2020-07-22,177.34,180.49,177.17,179.38,1967778.0,179.051,12400
2020-07-23,178.77,179.52,172.84,175.0,2840687.0,174.845,21271
2020-07-24,175.64,177.07,174.72,176.12,1710988.0,176.281,13952
2020-07-27,175.57,179.24,175.06,176.82,1807432.0,177.047,12799
2020-07-28,176.36,177.28,174.08,174.41,1246005.0,175.398,9945
2020-07-29,174.59,178.38,174.29,177.98,1451324.0,177.362,10940
2020-07-30,175.87,176.42,172.37,172.8,1797697.0,173.394,13027
2020-07-31,172.57,173.69,167.57,173.35,2848870.0,170.646,19308
2020-08-03,173.86,174.44,171.66,172.06,1225752.0,172.633,8923
2020-08-04,171.88,173.7,171.44,173.68,1026979.0,172.612,7653
2020-08-05,174.47,177.99,174.28,177.47,2098459.0,176.871,15121
2020-08-06,177.73,180.57,177.2,179.61,1328002.0,179.346,8265
2020-08-07,179.68,182.96,179.15,182.93,1375389.0,181.346,9675
2020-08-10,183.75,187.28,183.45,186.85,1829624.0,186.027,13897
2020-08-11,189.66,193.89,188.66,190.35,2834439.0,191.768,20279
2020-08-12,191.86,193.5,190.76,191.83,1812016.0,192.464,12440
2020-08-13,190.0,191.68,189.09,189.72,1243472.0,189.74,9191
2020-08-14,189.59,193.63,189.14,191.92,1716504.0,192.167,10655
2020-08-17,193.0,195.09,192.36,193.87,1840703.0,194.046,10694
2020-08-18,194.0,194.39,190.6,190.7,950632.0,191.88,7053
2020-08-19,191.63,192.18,190.73,190.95,1005673.0,191.434,7091
2020-08-20,189.32,190.76,188.08,189.92,1193201.0,190.091,8772
2020-08-21,190.46,191.79,188.76,191.57,971131.0,190.59,6890
2020-08-24,192.03,193.06,191.1,192.56,1157307.0,192.095,7585
2020-08-25,193.7,195.09,192.78,194.9,1088203.0,194.088,7730
2020-08-26,193.75,195.34,192.31,194.32,742726.0,194.296,5876
2020-08-27,195.08,195.8,194.28,194.44,839224.0,194.962,6044
2020-08-28,193.52,195.64,192.85,195.13,1036178.0,194.017,7985
2020-08-31,195.0,196.19,192.04,192.44,880652.0,193.181,6953
2020-09-01,192.24,195.89,191.09,195.8,1061506.0,194.296,8221
2020-09-02,196.09,197.56,194.41,196.28,1845606.0,196.098,11089
2020-09-03,197.75,197.96,189.3,190.55,2249405.0,191.88,15656
2020-09-04,191.99,194.12,188.67,191.14,2421892.0,190.892,15612
2020-09-08,190.65,191.46,188.5,188.66,1494986.0,189.685,10851
2020-09-09,190.19,194.95,190.13,192.86,1648137.0,193.269,10971
2020-09-10,193.79,194.64,192.04,193.08,1338809.0,193.35,10378
2020-09-11,194.01,197.33,193.87,195.94,1071382.0,195.819,8360
2020-09-14,197.23,199.85,195.9,198.84,935140.0,198.543,7133
2020-09-15,199.52,202.85,199.52,202.37,1394419.0,201.75,10363
2020-09-16,203.74,205.78,201.11,201.42,1959776.0,202.885,13125
2020-09-17,198.64,203.32,196.82,201.65,1231080.0,200.942,9451
2020-09-18,201.21,204.53,199.75,199.8,2124890.0,201.831,11687
2020-09-21,196.0,196.91,190.73,194.0,1665402.0,192.935,13416
2020-09-22,194.34,197.99,194.21,197.32,1075918.0,196.627,8098
2020-09-23,198.1,200.82,193.63,194.32,1012944.0,197.199,8023
2020-09-24,194.3,198.29,192.94,195.67,1035014.0,195.54,7052
2020-09-25,195.03,199.53,194.65,198.15,947218.0,197.588,7255
2020-09-28,201.59,202.2,199.13,199.45,1262238.0,200.501,9377
2020-09-29,199.59,200.38,196.65,197.24,1484746.0,198.028,9654
2020-09-30,198.28,202.2,196.31,196.87,1979458.0,199.135,12436
2020-10-01,198.0,198.0,192.1,194.23,1955219.0,195.225,14197
2020-10-02,191.23,198.59,190.87,196.35,1917820.0,196.276,11823
2020-10-05,198.2,202.25,197.45,201.32,1990399.0,200.473,13566
2020-10-06,202.0,204.0,199.29,199.41,1525751.0,201.975,11106
2020-10-07,201.08,205.58,201.0,204.62,1076168.0,204.212,7487
2020-10-08,204.89,205.5,201.56,203.78,1036467.0,203.728,7009
2020-10-09,204.64,206.48,204.55,205.78,1021218.0,205.525,6796
2020-10-12,208.68,208.82,205.45,206.35,1289168.0,206.657,9349
2020-10-13,205.52,206.86,202.75,203.0,1168931.0,204.546,7669
2020-10-14,203.61,205.37,203.44,204.81,1285913.0,204.468,8394
2020-10-15,202.16,209.43,201.11,208.81,1709424.0,206.64,12105
2020-10-16,209.37,210.95,207.81,209.85,2082961.0,209.853,12392
2020-10-19,208.39,210.65,205.17,205.66,1077079.0,207.815,8379
2020-10-20,206.55,210.09,206.01,206.78,863538.0,207.62,6569
2020-10-21,200.05,202.27,198.65,199.48,2832295.0,200.654,19961
2020-10-22,194.0,194.27,185.83,187.14,5631995.0,188.712,36452
2020-10-23,185.02,189.75,185.0,188.14,2632619.0,187.831,15739
2020-10-26,186.53,186.93,182.0,184.7,2416976.0,184.233,16843
2020-10-27,184.48,184.69,178.07,179.57,2982130.0,179.916,20387
2020-10-28,175.79,178.22,173.06,173.37,2672995.0,174.801,17533
2020-10-29,172.83,177.66,171.5,176.04,4257847.0,174.59,25668
2020-10-30,175.29,177.36,173.13,177.19,2484110.0,175.352,16596
2020-11-02,179.72,181.69,176.9,179.24,2389291.0,179.609,15787
2020-11-03,181.5,186.96,180.82,185.38,2662563.0,184.821,18401
2020-11-04,189.62,191.73,186.39,186.74,2875010.0,189.072,21016
2020-11-05,189.62,193.9,189.3,192.07,2032139.0,192.51,13851
2020-11-06,191.44,191.81,189.03,190.07,1241640.0,190.177,9501
2020-11-09,200.0,207.78,196.33,198.0,2704285.0,200.264,19989
2020-11-10,198.86,203.5,197.95,201.26,1865272.0,201.908,13874
2020-11-11,201.58,201.95,197.73,200.0,1598126.0,199.742,11039
2020-11-12,199.53,201.29,197.75,200.49,1578147.0,199.863,9675
2020-11-13,202.15,204.52,201.09,203.44,1045627.0,202.688,8322
2020-11-16,206.5,209.94,204.52,206.71,1763095.0,207.357,13015
2020-11-17,205.11,206.6,201.59,205.85,1219470.0,204.766,8746
2020-11-18,205.14,207.88,203.95,204.03,1312858.0,205.983,8907
2020-11-19,202.62,204.8,200.63,204.55,1234952.0,202.734,8706
2020-11-20,204.85,205.99,202.61,203.39,967515.0,203.893,6633
2020-11-23,204.18,207.55,204.18,207.39,1244532.0,206.384,9275
2020-11-24,209.46,211.14,208.49,208.7,1575568.0,209.524,10496
2020-11-25,208.6,208.6,206.07,207.24,1012372.0,207.2,7528
2020-11-27,207.57,207.85,205.0,205.64,636818.0,206.123,4530
2020-11-30,206.48,206.75,202.89,204.08,1261805.0,204.33,8294
2020-12-01,205.7,208.29,202.13,202.4,1666437.0,204.431,12386
2020-12-02,201.9,204.53,201.43,203.56,1073902.0,203.476,7777
2020-12-03,204.52,205.26,201.8,202.26,1661590.0,203.004,11297
2020-12-04,202.1,206.42,202.1,206.05,1026250.0,204.958,7475
2020-12-07,205.51,205.94,203.82,204.99,760500.0,204.952,5674
2020-12-08,203.65,206.7,203.21,205.21,872788.0,205.218,6159
2020-12-09,203.83,206.99,203.83,205.88,963436.0,205.507,7419
2020-12-10,204.97,205.74,201.39,202.52,1132073.0,202.947,8380
2020-12-11,200.68,203.75,200.0,203.06,1033712.0,202.484,7734
2020-12-14,205.27,205.46,197.91,198.0,1190353.0,200.755,8941
2020-12-15,198.81,201.42,197.46,200.3,1051368.0,199.871,7887
2020-12-16,200.84,201.0,198.61,198.85,1030893.0,199.417,7679
2020-12-17,200.03,202.81,199.01,202.2,1648242.0,201.506,11876
2020-12-18,202.09,204.49,200.73,203.6,1987678.0,202.226,10948
2020-12-21,199.61,203.8,199.61,202.49,1019733.0,201.96,7429
2020-12-22,201.83,203.51,201.44,201.52,803940.0,202.359,5766
2020-12-23,202.83,203.51,201.05,201.17,1096055.0,201.967,7256
2020-12-24,201.26,203.85,200.48,203.39,420073.0,202.589,3047
2020-12-28,203.97,206.54,203.55,205.65,813630.0,205.354,5935
2020-12-29,206.3,206.83,203.38,204.42,1073966.0,205.451,7618
2020-12-30,204.87,206.5,204.61,205.98,704356.0,205.616,5049
2020-12-31,206.35,208.65,205.66,208.22,920182.0,207.214,6374
2021-01-04,208.04,209.03,201.37,203.01,1373709.0,204.466,9902
2021-01-05,202.9,206.44,202.85,205.5,1010392.0,205.059,6783
2021-01-06,205.55,211.61,205.13,209.8,1400008.0,209.59,9792
2021-01-07,210.61,213.35,209.12,212.72,1068102.0,212.086,7863
2021-01-08,218.0,221.28,216.99,218.82,2510891.0,218.996,16400
2021-01-11,220.18,220.99,216.95,217.35,2077349.0,219.024,11280
2021-01-12,217.06,220.44,213.86,218.64,2083116.0,218.113,13730
2021-01-13,217.58,219.0,215.36,216.61,818162.0,216.562,6089
2021-01-14,217.95,218.12,215.71,216.16,930983.0,216.871,6994
2021-01-15,214.51,217.52,213.25,216.6,1344462.0,215.328,8305
2021-01-19,218.21,218.82,215.13,215.28,1830530.0,216.858,11572
2021-01-20,217.09,218.46,215.71,218.18,2203515.0,217.741,9803
2021-01-21,210.0,216.9,207.89,207.9,4832150.0,210.203,28676
2021-01-22,207.61,209.0,203.24,207.13,2647873.0,206.903,18226
2021-01-25,205.16,207.15,201.12,206.46,3068138.0,205.078,19924
2021-01-26,207.31,207.31,199.4,200.05,2524615.0,202.096,16869
2021-01-27,197.0,198.8,193.14,194.33,2539232.0,195.797,17473
2021-01-28,197.38,204.98,195.44,201.29,2126366.0,202.181,16415
2021-01-29,199.29,200.8,196.77,197.47,1923235.0,198.529,12532
2021-02-01,199.64,200.71,198.27,198.6,1336036.0,199.266,9512
2021-02-02,200.54,207.13,200.04,205.93,2509906.0,205.385,16618
2021-02-03,205.14,205.92,203.85,204.36,962861.0,204.579,6422
2021-02-04,204.78,206.65,203.38,204.45,1406502.0,204.881,9175
2021-02-05,206.55,207.68,203.85,204.2,1333202.0,205.19,8854
2021-02-08,205.3,205.3,202.12,204.12,1219097.0,203.483,8760
2021-02-09,204.44,205.6,202.53,204.65,766420.0,204.481,5579
2021-02-10,205.93,206.19,202.7,203.5,939618.0,204.145,7247
2021-02-11,205.11,207.87,204.35,207.23,1683963.0,206.44,11261
2021-02-12,206.21,213.7,206.21,213.16,2301557.0,212.036,16931
2021-02-16,213.37,215.42,210.46,213.99,1732827.0,213.738,12432
2021-02-17,213.24,213.88,209.81,211.23,1284634.0,211.423,9777
2021-02-18,209.22,209.79,204.16,207.06,2372505.0,206.182,17072
2021-02-19,208.04,211.56,207.9,209.06,1729611.0,209.793,11673
2021-02-22,207.14,210.37,206.68,206.83,1768758.0,208.633,11888
2021-02-23,207.35,208.08,204.68,206.96,1527993.0,206.344,11712
2021-02-24,206.35,212.95,205.47,211.15,1245128.0,210.561,8919
2021-02-25,209.78,210.89,207.9,208.67,2327893.0,209.336,16454
2021-02-26,210.21,210.21,205.85,205.96,1341040.0,207.659,10556
2021-03-01,208.58,211.6,207.77,209.18,1964555.0,210.21,11034
2021-03-02,209.55,210.64,207.33,209.3,1211720.0,209.534,9211
2021-03-03,209.33,209.83,205.99,206.23,1358173.0,208.121,9275
2021-03-04,205.98,206.7,198.59,201.08,2022319.0,202.226,14578
2021-03-05,203.0,210.15,200.64,209.71,1959679.0,205.858,14447
2021-03-08,210.57,215.68,210.17,210.89,1741197.0,213.115,12944
2021-03-09,212.05,214.97,211.23,211.7,1594725.0,213.253,10367
2021-03-10,212.5,215.18,211.38,213.12,1623731.0,213.755,12314
2021-03-11,214.82,216.54,213.17,214.52,1696651.0,215.216,10779
2021-03-12,215.86,217.5,213.92,214.09,1448091.0,215.362,10660
2021-03-15,214.25,214.89,209.96,212.67,1822380.0,211.762,14624
2021-03-16,213.12,213.17,208.91,211.7,1820360.0,211.158,12043
2021-03-17,211.43,214.23,209.82,212.3,1659423.0,212.058,11728
2021-03-18,211.44,217.71,211.44,215.36,1807197.0,215.537,13936
2021-03-19,215.43,215.53,209.21,210.8,2536647.0,212.234,15929
2021-03-22,210.08,210.81,204.78,206.27,3598289.0,206.629,23432
2021-03-23,207.26,210.53,206.5,208.05,2301379.0,208.742,16891
2021-03-24,208.0,215.8,208.0,212.9,1831379.0,213.755,13336
2021-03-25,212.53,216.53,211.82,216.09,1623995.0,213.988,10757
2021-03-26,217.16,223.21,216.75,222.92,2346859.0,220.768,17367
2021-03-29,222.8,223.95,220.24,222.98,1290008.0,222.459,9918
2021-03-30,221.26,223.42,220.54,221.13,1346462.0,221.51,10429
2021-03-31,221.12,222.57,219.17,220.41,1718368.0,221.036,11549
2021-04-01,220.6,221.79,219.02,220.21,1421768.0,220.094,10084
2021-04-05,222.24,224.62,222.07,223.47,1147099.0,223.494,8703
2021-04-06,223.97,224.09,220.8,221.1,856930.0,222.269,5693
2021-04-07,220.9,221.94,219.97,221.34,805679.0,221.264,6246
2021-04-08,221.08,221.58,220.08,220.18,932369.0,220.758,6925
2021-04-09,220.69,223.36,220.47,223.24,1404067.0,221.98,9040
2021-04-12,222.56,225.28,222.51,223.55,1061720.0,223.924,7120
2021-04-13,222.98,223.39,220.2,221.99,889649.0,221.954,6430
2021-04-14,222.48,223.4,221.55,222.6,836464.0,222.69,5824
2021-04-15,223.39,224.5,222.37,223.1,1221011.0,223.176,8432
2021-04-16,224.91,225.78,222.14,222.71,1335147.0,223.484,8646
2021-04-19,223.23,223.51,221.45,223.47,1108059.0,222.733,8138
2021-04-20,222.77,225.34,220.14,220.67,1759098.0,221.743,13328
2021-04-21,220.08,226.21,219.69,223.43,2166617.0,224.222,14630
2021-04-22,218.97,221.12,216.06,217.98,2936854.0,218.419,21426
2021-04-23,219.52,223.94,218.57,223.54,1901249.0,222.29,13401
2021-04-26,223.98,226.96,223.73,224.59,1622598.0,225.491,10217
2021-04-27,225.7,226.8,223.95,225.73,1311830.0,225.619,9253
2021-04-28,225.68,228.32,225.52,226.19,1269251.0,226.598,9100
2021-04-29,227.59,227.62,223.41,224.48,1315924.0,224.771,9894
2021-04-30,223.65,224.35,220.26,222.09,2043913.0,221.557,13498
2021-05-03,224.01,225.66,223.21,223.74,1435760.0,223.991,10938
2021-05-04,223.17,225.91,222.63,225.67,1368063.0,224.773,8391
2021-05-05,226.4,226.94,223.3,223.56,1550613.0,224.942,11305
2021-05-06,224.48,227.35,224.11,227.21,1049627.0,225.822,8089
2021-05-07,227.73,229.97,226.01,229.48,1179167.0,228.911,8649
2021-05-10,230.13,231.26,228.24,228.44,1082659.0,229.903,7767
2021-05-11,226.81,227.81,223.86,226.61,884361.0,226.167,6655
2021-05-12,225.88,226.34,221.9,222.0,1302230.0,223.292,9411
2021-05-13,222.0,226.68,222.0,225.18,1086330.0,224.924,7730
2021-05-14,226.76,229.37,225.83,227.86,908586.0,228.257,7188
2021-05-17,226.71,227.31,224.09,224.76,1223450.0,224.934,8675
2021-05-18,225.0,225.23,221.98,222.44,1298228.0,223.21,8743
2021-05-19,220.26,222.34,218.02,222.3,1647438.0,220.638,11586
2021-05-20,222.02,222.93,220.22,221.95,1122531.0,221.927,8233
2021-05-21,223.01,224.38,221.23,221.52,1451696.0,222.475,10205
2021-05-24,222.52,224.39,221.91,223.56,1129406.0,223.256,8576
2021-05-25,224.45,225.39,221.78,221.94,1392936.0,223.39,10088
2021-05-26,224.36,224.82,221.83,223.85,1694646.0,223.368,12067
2021-05-27,223.74,225.44,223.12,223.9,1321914.0,224.527,9732
2021-05-28,225.28,225.81,224.35,224.73,858273.0,225.068,6706
2021-06-01,226.35,227.38,224.94,225.03,1150454.0,226.006,8779
2021-06-02,224.24,226.35,223.69,224.45,1190933.0,224.984,8597
2021-06-03,223.47,226.81,222.88,224.95,1087578.0,225.168,7390
2021-06-04,226.28,227.1,224.53,226.17,915853.0,225.71,6867
2021-06-07,226.71,226.71,222.85,222.95,1054703.0,224.023,7601
2021-06-08,222.73,223.47,219.64,221.83,1398940.0,221.961,9842
2021-06-09,221.58,222.52,220.31,221.5,1083928.0,221.634,8372
2021-06-10,222.33,223.17,219.4,219.59,1783951.0,220.467,12343
2021-06-11,220.83,222.21,220.69,221.33,1161925.0,221.481,8447
2021-06-14,220.58,222.75,220.2,222.62,928614.0,221.491,7017
2021-06-15,223.47,223.89,222.17,222.84,1113556.0,222.99,8394
2021-06-16,223.58,223.65,220.38,222.06,1738911.0,221.89,11043
2021-06-17,221.92,222.48,217.16,219.07,1662337.0,219.527,10695
2021-06-18,216.35,217.29,214.5,214.81,1966604.0,215.722,11499
2021-06-21,216.03,218.86,215.57,217.51,1759137.0,217.668,11889
2021-06-22,216.72,219.37,216.03,218.99,1221489.0,218.521,8803
2021-06-23,219.84,221.4,218.74,219.11,1395483.0,220.062,10188
2021-06-24,219.55,219.85,216.98,218.47,1981685.0,217.951,13753
2021-06-25,219.0,221.5,218.29,221.27,1659784.0,220.691,11926
2021-06-28,221.25,221.52,218.12,219.13,1210683.0,219.143,8493
2021-06-29,219.89,220.38,217.95,218.65,1266354.0,219.079,9139
2021-06-30,218.54,220.73,217.77,219.93,1513958.0,219.427,10590
2021-07-01,221.52,223.67,221.31,223.55,1376379.0,222.886,10015
2021-07-02,224.1,225.93,223.42,224.72,930281.0,224.997,6374
2021-07-06,225.23,225.5,221.31,223.81,1165971.0,223.262,8112
2021-07-07,222.82,228.74,222.51,228.35,1471693.0,227.34,10142
2021-07-08,222.1,223.22,217.41,218.34,3787329.0,219.549,25617
2021-07-09,220.0,222.65,219.73,221.69,2663538.0,221.447,14584
2021-07-12,221.0,222.13,219.66,221.22,2068745.0,221.007,11529
2021-07-13,220.87,221.4,219.0,219.18,1940215.0,219.99,12124
2021-07-14,219.92,221.41,219.25,220.05,2993672.0,220.085,18061
2021-07-15,218.84,220.88,217.91,219.94,1111637.0,219.961,7960
2021-07-16,219.89,220.82,217.81,218.42,1175102.0,218.958,8284
2021-07-19,215.16,215.89,212.94,214.34,1875065.0,213.983,13493
2021-07-20,213.99,217.64,213.99,215.48,1783604.0,216.051,13102
2021-07-21,216.45,219.22,216.22,217.19,1296801.0,217.419,9017
2021-07-22,223.18,224.5,219.05,219.54,2811306.0,221.071,19142
2021-07-23,220.5,221.65,219.46,220.15,1863498.0,220.373,11243
2021-07-26,219.93,222.0,218.61,220.19,1790315.0,219.796,11962
2021-07-27,219.25,220.4,217.19,218.03,2050528.0,218.259,14330
2021-07-28,218.8,219.08,215.54,216.56,1386731.0,216.645,9067
2021-07-29,218.2,219.63,217.24,217.32,1143250.0,218.187,8129
2021-07-30,216.73,219.6,216.73,218.76,1174718.0,218.563,7997
2021-08-02,220.49,220.95,217.38,217.52,1198428.0,218.631,7214
2021-08-03,217.91,220.73,217.14,220.06,1397016.0,219.762,9749
2021-08-04,219.44,219.62,217.18,217.62,1361346.0,218.029,10267
2021-08-05,218.39,219.59,217.58,219.16,1173232.0,218.685,8232
2021-08-06,219.89,221.7,219.62,220.5,1405094.0,220.652,9058
2021-08-09,219.88,220.58,219.44,219.95,1019134.0,220.029,6906
2021-08-10,220.62,222.93,219.46,221.71,1048234.0,221.791,7899
2021-08-11,222.37,226.58,221.86,226.39,2017821.0,225.547,13884
2021-08-12,225.29,227.87,225.09,227.66,1260283.0,226.754,8999
2021-08-13,228.09,228.57,226.6,227.8,1127290.0,227.692,8527
2021-08-16,227.45,228.07,225.03,227.49,1031280.0,226.913,7995
2021-08-17,226.75,226.85,223.13,225.86,1393255.0,224.609,10322
2021-08-18,224.44,228.28,224.19,224.82,1089260.0,226.357,8431
2021-08-19,223.1,225.51,222.4,223.77,1276287.0,223.678,9884
2021-08-20,223.95,224.77,223.13,223.71,931249.0,223.901,7321
2021-08-23,224.37,226.08,223.51,223.78,1056886.0,224.519,7718
2021-08-24,223.85,224.34,221.11,221.25,1457013.0,221.99,11244
2021-08-25,221.58,222.03,220.44,221.29,788467.0,221.383,6303
2021-08-26,221.32,222.18,219.54,220.98,1319775.0,220.61,9313
2021-08-27,221.32,222.59,221.15,221.43,1037713.0,221.63,7642
2021-08-30,220.24,220.62,218.74,219.08,2148556.0,219.578,12552
2021-08-31,219.59,219.85,215.53,216.84,2516420.0,217.269,18279
2021-09-01,216.04,218.56,214.8,216.93,2559855.0,217.144,18275
2021-09-02,217.33,219.1,216.85,217.53,1637197.0,217.731,12137
2021-09-03,217.0,217.35,214.44,214.91,2742950.0,215.314,17865
2021-09-07,214.7,216.75,212.7,213.0,2033766.0,213.96,15115
2021-09-08,213.31,215.93,212.27,215.25,1661852.0,214.509,11504
2021-09-09,214.75,215.19,209.05,210.05,2446742.0,211.103,16814
2021-09-10,211.0,211.93,207.6,207.76,1740039.0,209.541,11356
2021-09-13,209.05,209.55,205.22,206.75,1913433.0,206.796,14245
2021-09-14,207.5,207.5,202.61,203.41,2843880.0,203.727,16951
2021-09-15,203.43,204.65,202.61,204.25,3181792.0,203.716,20725
2021-09-16,205.0,205.91,203.11,203.44,1815121.0,203.944,13466
2021-09-17,202.87,204.57,200.84,201.47,2736017.0,202.278,15659
2021-09-20,198.86,199.93,195.67,197.87,2410421.0,197.519,15626
2021-09-21,199.12,199.58,196.17,196.61,1832396.0,197.444,13634
2021-09-22,198.4,200.17,197.69,198.07,1672930.0,198.513,12128
2021-09-23,199.3,203.31,199.18,201.72,2303302.0,202.139,16411
2021-09-24,201.16,204.87,201.1,203.8,1716741.0,204.071,13151
2021-09-27,203.59,206.49,203.55,203.96,1405280.0,205.089,10829
2021-09-28,201.55,202.76,199.71,201.12,2386901.0,201.099,16302
2021-09-29,201.3,202.63,200.93,201.68,1980109.0,201.666,14846
2021-09-30,202.25,202.31,195.93,196.01,2266618.0,198.369,17345
2021-10-01,197.79,202.92,197.29,201.74,1877045.0,200.477,14142
2021-10-04,203.95,206.62,203.6,205.51,3659764.0,205.19,24390
2021-10-05,205.13,211.97,205.13,209.97,2476999.0,210.174,17440
2021-10-06,208.62,212.95,206.55,212.44,1776143.0,210.403,13506
2021-10-07,214.55,215.45,211.29,211.88,1612044.0,212.334,11757
2021-10-08,215.17,216.72,214.47,216.48,2054862.0,215.67,13408
2021-10-11,216.86,218.07,214.87,214.91,1177475.0,216.49,8840
2021-10-12,214.65,215.36,213.0,213.41,1130132.0,213.894,8637
2021-10-13,213.76,216.58,213.25,215.85,1260470.0,214.922,9243
2021-10-14,217.78,221.59,217.51,221.34,1497612.0,220.258,10716
2021-10-15,222.94,225.7,221.94,225.16,1546532.0,224.596,10998
2021-10-18,224.0,226.55,222.9,225.93,1188654.0,225.528,8978
2021-10-19,227.3,227.49,224.87,225.76,1192562.0,225.834,8935
2021-10-20,226.15,228.41,224.22,228.01,1994764.0,227.001,13913
2021-10-21,228.6,232.09,226.94,231.28,2147534.0,229.608,14287
2021-10-22,233.1,239.65,232.46,237.59,2360228.0,237.054,17561
2021-10-25,238.3,241.18,237.18,240.28,1792018.0,240.271,12406
2021-10-26,241.91,243.91,239.77,240.72,1431515.0,242.385,9925
2021-10-27,240.56,243.27,239.32,239.38,1552284.0,240.992,11657
2021-10-28,240.35,242.44,240.1,242.3,1030086.0,241.556,7642
2021-10-29,240.42,242.9,239.4,241.4,1220646.0,241.19,8353
2021-11-01,242.16,242.27,237.64,239.46,1451404.0,238.963,10468
2021-11-02,240.28,242.44,238.74,240.44,1168181.0,240.838,8590
2021-11-03,239.82,240.8,237.04,239.46,1295432.0,239.053,8878
2021-11-04,239.76,239.89,236.0,237.2,1945817.0,237.791,13946
2021-11-05,239.0,240.29,237.95,238.83,1289238.0,239.383,9657
2021-11-08,240.0,240.0,237.59,239.45,889057.0,238.952,6328
2021-11-09,239.02,241.1,238.36,241.0,909568.0,239.91,5694
2021-11-10,241.63,242.5,240.47,241.54,840662.0,241.425,6132
2021-11-11,241.0,241.13,239.01,240.56,821851.0,240.283,6018
2021-11-12,241.01,244.04,239.86,242.44,875793.0,242.409,6498
2021-11-15,242.52,243.03,240.87,241.46,732359.0,241.586,5379
2021-11-16,242.01,244.34,240.98,241.48,1035728.0,242.819,7540
2021-11-17,241.36,241.96,238.68,239.75,1197159.0,239.925,8462
2021-11-18,239.54,241.53,238.03,240.24,1048350.0,240.204,6551
2021-11-19,241.19,243.0,238.23,241.31,1212100.0,241.152,8624
2021-11-22,241.7,247.12,240.82,243.91,1313613.0,245.438,10042
2021-11-23,243.38,247.76,242.77,247.37,1797675.0,246.672,11880
2021-11-24,246.63,247.15,245.22,246.6,1350990.0,246.495,7623
2021-11-26,240.38,241.68,237.66,239.79,1626350.0,239.597,10646
2021-11-29,241.5,243.01,239.34,239.46,2181794.0,241.346,12398
2021-11-30,237.84,239.43,235.3,235.64,1877620.0,237.056,12947
2021-12-01,237.63,239.71,233.21,233.25,2576014.0,236.837,17119
2021-12-02,235.32,241.44,234.09,240.08,1794628.0,239.423,13408
2021-12-03,241.17,243.03,238.05,240.43,1269305.0,240.467,9886
2021-12-06,243.31,247.6,241.77,246.06,1318713.0,245.832,8218
2021-12-07,247.26,249.94,246.81,247.47,1173349.0,248.17,7867
2021-12-08,247.3,248.68,245.2,247.6,928822.0,246.834,6716
2021-12-09,247.06,249.4,246.06,247.25,867947.0,247.757,5677
