date,open,high,low,close,volume,average,barCount
2020-07-13,102.02,103.54,101.5,101.75,358157.0,102.664,2531
2020-07-14,101.55,104.38,101.15,104.24,321319.0,102.899,2730
2020-07-15,105.95,107.78,105.54,106.8,407786.0,107.054,3562
2020-07-16,106.72,107.92,106.14,107.41,362570.0,107.188,2946
2020-07-17,107.53,107.53,104.92,106.85,472498.0,106.488,4070
2020-07-20,107.0,108.53,106.65,107.53,398359.0,107.88,3458
2020-07-21,108.88,110.18,108.43,109.82,451337.0,109.658,3599
2020-07-22,109.35,112.4,109.35,111.6,633851.0,111.528,4881
2020-07-23,108.7,110.0,102.35,102.56,1205057.0,103.895,9081
2020-07-24,102.75,103.28,100.39,101.02,535725.0,101.648,4334
2020-07-27,101.68,102.08,100.59,101.39,481422.0,101.198,3814
2020-07-28,100.8,101.18,98.47,98.51,451372.0,99.53,3460
2020-07-29,98.67,99.64,97.8,98.22,350986.0,98.487,3026
2020-07-30,96.96,97.88,95.43,97.58,459575.0,97.165,4097
2020-07-31,97.78,99.51,96.54,99.46,558973.0,98.287,4183
2020-08-03,100.12,100.91,99.0,100.45,424965.0,100.397,3199
2020-08-04,99.64,100.06,98.28,99.41,472369.0,99.014,3458
2020-08-05,99.94,101.03,99.68,100.44,488409.0,100.434,3657
2020-08-06,99.79,100.69,98.22,99.2,611680.0,99.089,3820
2020-08-07,99.6,100.11,98.63,100.11,490566.0,99.324,4477
2020-08-10,100.47,102.39,100.18,102.32,262793.0,101.716,2286
2020-08-11,103.24,106.21,102.64,104.16,458198.0,104.873,3340
2020-08-12,104.79,105.01,103.52,104.17,201308.0,104.201,1625
2020-08-13,103.93,104.68,102.36,102.69,244513.0,103.239,2146
2020-08-14,102.43,102.86,101.09,101.56,276749.0,101.805,2475
2020-08-17,101.46,102.88,101.0,102.26,440031.0,102.406,3118
2020-08-18,102.4,102.83,100.42,100.59,650084.0,101.092,4773
2020-08-19,100.77,101.29,99.5,100.71,364952.0,100.682,2883
2020-08-20,99.66,100.17,98.83,99.34,238622.0,99.214,1830
2020-08-21,99.35,100.57,99.25,100.27,360599.0,100.038,2406
2020-08-24,100.45,102.99,100.42,102.9,329374.0,101.881,2583
2020-08-25,103.32,103.64,100.76,102.08,320056.0,101.655,2396
2020-08-26,102.06,103.05,101.41,102.46,261400.0,102.239,2173
2020-08-27,102.88,103.9,102.53,103.24,378592.0,103.263,3076
2020-08-28,103.33,104.87,102.17,104.0,380739.0,103.946,2631
2020-08-31,103.77,104.39,103.26,103.39,518264.0,103.771,3504
2020-09-01,102.98,103.01,100.61,102.1,399376.0,101.936,2502
2020-09-02,102.35,105.42,102.0,104.8,356177.0,103.871,2579
2020-09-03,104.9,105.34,99.85,100.42,348961.0,101.256,2746
2020-09-04,101.42,102.05,98.9,99.67,337321.0,100.209,2927
2020-09-08,98.95,99.21,97.38,98.0,510657.0,98.239,3761
2020-09-09,98.94,100.04,98.53,98.69,316290.0,98.903,2703
2020-09-10,99.0,99.35,96.62,97.01,332763.0,97.641,2846
2020-09-11,97.4,98.88,97.29,97.97,429216.0,97.961,3801
2020-09-14,99.16,99.45,97.87,99.14,340007.0,98.889,2927
2020-09-15,99.74,101.17,99.13,100.92,435452.0,100.572,3502
2020-09-16,101.49,105.16,101.17,103.83,459527.0,103.702,3889
2020-09-17,102.48,105.43,101.87,103.98,728608.0,104.164,4921
2020-09-18,104.05,105.67,102.81,103.25,824795.0,103.985,4820
2020-09-21,101.42,101.48,95.72,97.77,543473.0,97.346,3653
2020-09-22,97.66,98.89,96.3,98.22,503290.0,97.467,3998
2020-09-23,98.96,99.2,95.07,95.37,515680.0,96.947,4070
2020-09-24,95.0,96.62,94.01,95.63,448488.0,95.383,3128
2020-09-25,95.28,98.07,94.63,97.24,368881.0,96.421,2848
2020-09-28,98.94,100.72,98.45,99.21,316178.0,99.819,2581
2020-09-29,99.02,100.49,98.57,99.17,308210.0,99.461,2388
2020-09-30,99.82,101.72,97.9,98.91,1015726.0,100.003,5595
2020-10-01,99.94,101.68,98.17,98.5,580787.0,99.76,3773
2020-10-02,96.66,99.69,96.32,98.82,1328673.0,98.458,6305
2020-10-05,99.89,101.22,99.54,100.8,753344.0,100.451,4134
2020-10-06,101.01,102.76,100.44,100.86,436365.0,101.42,3330
2020-10-07,101.72,102.4,100.72,101.56,423614.0,101.556,3379
2020-10-08,102.7,103.77,102.05,103.69,353810.0,103.048,1824
2020-10-09,104.67,105.38,103.91,103.99,222561.0,104.387,1674
2020-10-12,104.68,108.09,104.68,107.76,363787.0,107.148,2706
2020-10-13,106.87,107.19,104.79,105.04,467847.0,105.605,3500
2020-10-14,105.0,106.03,103.92,104.48,286002.0,104.695,2136
2020-10-15,102.95,104.84,102.94,104.82,228248.0,103.995,1771
2020-10-16,105.23,106.27,104.93,104.99,229709.0,105.604,1668
2020-10-19,105.15,105.84,103.75,103.93,283557.0,104.456,2335
2020-10-20,104.84,107.61,104.68,105.3,350351.0,106.174,2993
2020-10-21,104.81,107.11,103.16,103.9,809182.0,104.855,5034
2020-10-22,105.0,105.5,99.83,101.97,1146609.0,101.514,7233
2020-10-23,103.4,104.01,101.74,102.88,509947.0,102.653,3389
2020-10-26,101.61,102.13,99.9,100.84,364855.0,100.62,2655
2020-10-27,100.84,100.97,99.0,99.26,409344.0,99.562,3255
2020-10-28,96.98,98.97,96.08,96.36,577676.0,97.058,4183
2020-10-29,95.78,98.87,95.67,98.11,445936.0,97.586,3669
2020-10-30,97.11,98.57,95.8,98.5,608764.0,97.189,3770
2020-11-02,99.89,101.79,99.6,101.51,512508.0,100.878,3326
2020-11-03,102.81,104.66,102.19,104.08,434443.0,103.623,2505
2020-11-04,104.27,104.91,101.24,101.55,550299.0,102.623,3704
2020-11-05,102.86,104.72,102.86,104.13,420274.0,104.055,3218
2020-11-06,104.0,104.75,102.47,102.83,421195.0,103.106,2460
2020-11-09,106.25,114.74,105.45,111.87,733969.0,112.188,5558
2020-11-10,112.58,116.57,111.33,115.15,674233.0,115.29,4924
2020-11-11,118.34,118.34,111.39,112.36,674347.0,112.531,3934
2020-11-12,111.62,111.62,108.35,110.15,679851.0,109.778,4659
2020-11-13,111.0,114.93,111.0,114.0,408778.0,113.805,3022
2020-11-16,116.45,118.38,115.56,118.26,330319.0,117.281,2736
2020-11-17,116.88,117.13,114.35,115.46,537545.0,115.833,3610
2020-11-18,115.88,116.42,114.51,114.56,417628.0,115.29,3434
2020-11-19,113.9,114.66,111.87,114.13,359152.0,113.185,3006
2020-11-20,113.95,114.67,111.95,113.0,300485.0,112.964,2284
2020-11-23,113.82,114.77,112.69,114.16,443265.0,113.854,3353
2020-11-24,115.93,117.71,114.85,116.79,366984.0,116.623,2814
2020-11-25,116.7,116.7,113.76,115.21,252158.0,114.928,2192
2020-11-27,115.61,116.99,114.11,114.28,186578.0,115.263,1549
2020-11-30,113.8,114.15,112.6,114.04,313343.0,113.371,2573
2020-12-01,115.89,116.55,114.75,115.0,414252.0,115.54,3045
2020-12-02,114.38,115.97,112.54,113.54,362305.0,113.651,2653
2020-12-03,113.98,115.35,113.5,113.77,339442.0,114.337,2469
2020-12-04,114.29,116.03,113.87,114.54,579007.0,114.8,2912
2020-12-07,114.72,114.72,111.84,112.21,269184.0,112.651,1880
2020-12-08,111.56,113.57,110.07,113.12,447928.0,112.402,2764
2020-12-09,113.87,115.35,111.14,111.36,792751.0,112.293,5759
2020-12-10,110.59,112.52,108.97,110.65,426479.0,110.324,3549
2020-12-11,109.76,110.49,108.86,109.58,330484.0,109.609,2307
2020-12-14,110.16,110.94,108.82,109.69,559427.0,110.111,3294
2020-12-15,109.99,112.59,109.62,111.7,338663.0,111.342,2609
2020-12-16,111.73,112.17,110.75,111.2,335370.0,111.23,2688
2020-12-17,112.05,112.89,111.08,112.82,320534.0,112.305,2445
2020-12-18,113.72,114.37,112.58,113.75,484170.0,113.539,2719
2020-12-21,111.85,113.62,110.83,112.79,319577.0,112.677,2627
2020-12-22,112.6,113.96,112.09,112.39,212027.0,112.86,1679
2020-12-23,112.78,113.44,111.69,112.76,169143.0,112.988,1234
2020-12-24,113.04,113.22,112.15,113.03,80017.0,112.691,642
2020-12-28,113.49,115.45,113.49,114.52,204096.0,114.686,1606
2020-12-29,115.19,115.19,112.69,113.54,184246.0,113.641,1477
2020-12-30,113.47,115.25,113.43,114.94,162142.0,114.678,1156
2020-12-31,115.21,116.65,114.04,116.38,197366.0,115.699,1520
2021-01-04,116.42,116.8,113.71,114.48,434564.0,114.938,3559
2021-01-05,114.15,115.89,113.79,114.7,324664.0,114.994,2657
2021-01-06,116.27,120.3,115.81,117.31,574203.0,117.917,4415
2021-01-07,118.46,121.01,117.81,120.4,502379.0,119.577,3423
2021-01-08,120.35,121.33,118.09,119.98,305662.0,119.542,2378
2021-01-11,118.51,120.99,118.41,120.33,348905.0,120.497,1797
2021-01-12,120.27,121.3,119.27,119.88,337561.0,120.049,2376
2021-01-13,119.43,120.03,116.97,117.01,242223.0,117.759,2081
2021-01-14,117.36,117.69,115.7,116.28,336801.0,116.567,2857
2021-01-15,115.31,115.55,113.06,114.41,313834.0,114.439,2066
2021-01-19,114.93,116.43,114.61,114.71,190587.0,115.108,1528
2021-01-20,115.05,115.07,113.16,114.19,459296.0,114.175,3653
2021-01-21,114.17,116.0,113.75,115.04,347613.0,114.955,2369
2021-01-22,114.25,114.46,112.27,113.61,322289.0,113.307,2468
2021-01-25,112.8,112.92,111.12,112.09,301327.0,112.112,2465
2021-01-26,112.77,113.54,110.52,111.26,361305.0,111.457,2506
2021-01-27,109.95,113.68,108.17,112.15,530496.0,111.539,4207
2021-01-28,113.16,114.84,110.11,110.48,694462.0,111.819,5416
2021-01-29,109.19,109.37,106.61,107.01,485338.0,107.909,4044
2021-02-01,108.09,110.78,108.09,110.32,299415.0,109.982,2403
2021-02-02,110.78,112.12,109.86,110.89,340899.0,111.349,2859
2021-02-03,110.47,111.89,110.01,111.43,236823.0,111.209,2001
2021-02-04,111.56,113.3,111.01,111.87,239805.0,112.282,2046
2021-02-05,112.35,114.47,112.35,113.79,905115.0,113.736,6417
2021-02-08,114.86,117.19,113.72,117.03,402777.0,116.034,3160
2021-02-09,116.56,117.33,116.03,116.72,263519.0,116.584,1865
2021-02-10,117.68,118.57,115.96,117.91,256611.0,117.445,2153
2021-02-11,118.13,119.49,117.79,119.11,306037.0,118.733,2303
2021-02-12,118.44,120.61,117.36,118.26,412390.0,118.709,3208
2021-02-16,116.94,117.77,109.58,109.81,953411.0,111.13,7001
2021-02-17,108.89,110.25,108.25,109.3,543289.0,109.398,4460
2021-02-18,108.87,110.2,108.07,108.31,422764.0,109.094,3242
2021-02-19,108.36,109.33,107.57,109.06,606079.0,108.62,4428
2021-02-22,108.42,109.26,106.52,108.99,427804.0,108.168,3299
2021-02-23,109.02,109.62,106.85,108.79,315138.0,108.499,2625
2021-02-24,108.62,110.81,108.01,109.33,293923.0,109.713,2326
2021-02-25,108.86,109.99,107.06,107.59,272832.0,108.406,2301
2021-02-26,107.6,109.54,106.92,108.78,682787.0,108.677,5077
2021-03-01,109.75,113.05,108.0,111.7,671448.0,111.395,3033
2021-03-02,112.39,114.05,111.0,112.79,535515.0,113.073,3205
2021-03-03,112.14,113.57,111.47,112.15,580128.0,112.409,3745
2021-03-04,111.57,111.62,107.75,110.4,739429.0,109.794,5458
2021-03-05,111.62,113.87,110.68,113.31,698712.0,112.351,4246
2021-03-08,114.29,119.53,113.49,116.49,774966.0,117.305,5580
2021-03-09,116.27,117.14,114.19,114.44,462928.0,115.299,3382
2021-03-10,114.37,116.47,113.93,115.95,435645.0,115.622,3330
2021-03-11,116.33,116.56,114.67,115.0,339542.0,115.523,2395
2021-03-12,116.29,117.3,115.6,117.29,278221.0,116.643,2106
2021-03-15,116.52,118.16,116.42,118.13,619723.0,117.481,4603
2021-03-16,118.9,122.74,118.51,121.33,595304.0,120.912,4244
2021-03-17,121.19,123.56,121.03,122.56,659848.0,122.185,4960
2021-03-18,121.9,123.42,121.53,121.98,413462.0,122.315,3075
2021-03-19,121.74,121.74,119.72,119.92,384541.0,120.723,2355
2021-03-22,119.38,120.94,118.23,120.45,352185.0,119.98,2623
2021-03-23,119.38,121.07,119.02,119.29,374832.0,119.956,3229
2021-03-24,120.43,123.31,119.85,121.65,481966.0,122.021,3832
2021-03-25,122.04,123.68,120.52,123.48,393073.0,122.532,3063
2021-03-26,124.56,126.82,123.75,126.75,296714.0,125.543,2242
2021-03-29,126.74,128.41,125.7,126.28,532497.0,127.128,3925
2021-03-30,125.83,126.3,124.44,125.29,346260.0,125.218,2818
2021-03-31,124.75,126.65,124.09,125.62,294560.0,125.68,2342
2021-04-01,125.85,128.0,124.62,127.75,506551.0,127.085,3440
2021-04-05,128.95,130.06,128.45,130.03,275056.0,129.368,1944
2021-04-06,133.63,134.44,131.01,131.5,1088732.0,132.87,6260
2021-04-07,130.75,131.93,129.69,131.36,324406.0,131.246,2565
2021-04-08,131.23,131.53,129.53,130.85,336951.0,130.803,2767
2021-04-09,131.77,132.78,130.68,131.69,324262.0,131.47,2653
2021-04-12,132.16,132.43,130.89,131.61,302694.0,131.703,2361
2021-04-13,130.67,130.83,128.94,129.34,287412.0,129.574,2330
2021-04-14,129.37,131.22,129.31,130.24,179414.0,130.474,1353
2021-04-15,130.1,130.86,129.48,130.53,305379.0,130.27,2284
2021-04-16,132.0,133.13,131.55,133.01,363465.0,132.331,2549
2021-04-19,133.22,133.37,131.9,132.34,279393.0,132.554,2079
2021-04-20,132.7,133.3,131.55,132.45,423493.0,132.337,3377
2021-04-21,132.69,134.83,132.57,133.09,338322.0,133.67,2808
2021-04-22,134.66,139.73,134.66,135.49,767407.0,136.896,5453
2021-04-23,134.78,138.83,134.3,138.35,652893.0,136.871,4694
2021-04-26,139.26,140.21,135.65,136.25,679930.0,137.087,4505
2021-04-27,136.29,138.64,135.0,137.65,476456.0,137.479,3581
2021-04-28,137.83,137.83,135.98,136.5,274850.0,136.511,2150
2021-04-29,137.27,138.23,136.73,137.22,521971.0,137.33,3744
2021-04-30,136.28,136.53,133.93,134.38,513140.0,134.904,4210
2021-05-03,135.81,137.13,135.17,136.07,658163.0,136.322,4250
2021-05-04,135.64,137.77,135.61,137.41,589884.0,136.765,4577
2021-05-05,137.72,137.72,134.78,136.24,365471.0,136.237,2513
2021-05-06,136.65,140.3,136.3,140.16,502181.0,139.031,3721
2021-05-07,140.11,142.2,139.9,141.25,443261.0,141.241,2649
2021-05-10,141.96,144.76,141.96,142.55,511965.0,143.631,3957
2021-05-11,141.65,142.03,139.07,139.74,375964.0,140.079,2185
2021-05-12,139.55,139.65,134.92,135.39,482751.0,136.638,3644
2021-05-13,135.8,139.99,135.59,139.21,368216.0,138.208,2142
2021-05-14,139.59,141.43,139.5,140.25,312642.0,140.62,1869
2021-05-17,139.53,140.28,138.62,138.93,186999.0,139.329,1605
2021-05-18,138.98,139.4,137.11,137.19,312096.0,138.206,2247
2021-05-19,135.53,137.99,135.39,137.66,303982.0,137.03,2426
2021-05-20,138.24,138.68,137.19,137.63,243491.0,137.837,1862
2021-05-21,138.24,139.49,136.96,137.51,281486.0,137.919,1989
2021-05-24,138.0,138.9,137.33,138.73,286636.0,138.438,2265
2021-05-25,138.8,140.13,138.25,139.24,402591.0,139.522,2983
2021-05-26,138.97,139.93,138.64,139.07,231015.0,139.093,1950
2021-05-27,139.92,140.53,139.01,140.18,301394.0,139.781,2171
2021-05-28,140.15,141.23,140.11,140.48,252180.0,140.596,1779
2021-06-01,141.66,142.85,139.19,139.36,376288.0,140.704,2878
2021-06-02,139.52,139.52,137.82,138.34,369760.0,138.657,3096
2021-06-03,137.46,138.49,136.98,137.94,251817.0,137.641,2051
2021-06-04,138.94,139.41,138.17,138.83,206280.0,138.681,1698
2021-06-07,139.19,139.19,137.69,138.0,214916.0,138.05,1883
2021-06-08,138.17,139.65,137.29,139.0,357263.0,139.032,2796
2021-06-09,138.87,139.35,138.06,138.09,347791.0,138.569,2914
2021-06-10,138.83,139.64,137.44,138.66,562830.0,138.462,3163
2021-06-11,139.21,139.62,137.89,138.7,399137.0,138.665,2501
2021-06-14,138.72,138.72,137.06,138.31,392787.0,137.824,2872
2021-06-15,138.06,138.76,136.95,138.5,417659.0,138.27,2895
2021-06-16,138.73,139.36,137.8,139.13,562175.0,138.822,4465
2021-06-17,138.82,139.21,134.86,136.56,274675.0,136.816,2126
2021-06-18,134.68,135.67,133.8,134.65,286684.0,134.896,1842
2021-06-21,136.04,138.08,135.97,137.77,364178.0,137.521,2350
2021-06-22,138.16,139.06,137.03,138.69,372559.0,138.331,2967
2021-06-23,139.04,139.25,137.69,138.15,382090.0,138.539,2574
2021-06-24,139.26,139.26,137.23,138.72,331516.0,138.318,2309
2021-06-25,139.25,140.22,138.2,138.85,263702.0,139.103,1917
2021-06-28,139.31,139.77,138.09,139.33,210212.0,139.232,1595
2021-06-29,140.01,140.97,139.1,139.19,230195.0,139.719,1862
2021-06-30,138.63,139.58,138.63,139.3,229564.0,139.09,1918
2021-07-01,140.18,140.92,139.78,140.21,263123.0,140.268,1866
2021-07-02,140.14,140.73,139.34,140.04,183236.0,140.086,1569
2021-07-06,139.44,140.53,136.68,138.56,235577.0,138.069,1965
2021-07-07,137.78,140.12,137.78,140.02,289875.0,139.571,2423
2021-07-08,138.22,138.66,136.79,137.52,258768.0,137.491,2108
2021-07-09,139.49,140.06,138.09,138.27,579293.0,138.508,3310
2021-07-12,137.96,138.61,137.28,138.12,243218.0,137.993,1897
2021-07-13,137.62,137.95,134.02,134.04,451408.0,134.938,3266
2021-07-14,134.54,136.56,134.02,135.87,487779.0,135.952,3557
2021-07-15,135.1,137.52,135.03,137.32,845957.0,136.604,4609
2021-07-16,138.19,138.91,137.91,138.5,794341.0,138.417,4249
2021-07-19,136.0,136.93,134.7,135.91,685439.0,135.811,5440
2021-07-20,136.66,142.25,136.47,141.35,663354.0,140.703,4985
2021-07-21,140.5,141.34,137.95,140.47,806360.0,140.068,5851
2021-07-22,139.39,139.99,134.73,135.97,882739.0,136.287,7212
2021-07-23,137.87,139.64,137.09,139.18,492030.0,138.379,2926
2021-07-26,139.02,140.13,137.95,138.05,880634.0,138.867,5267
2021-07-27,136.93,138.62,135.24,136.7,440559.0,136.892,3379
2021-07-28,136.81,137.51,135.54,135.59,383707.0,136.133,2945
2021-07-29,136.63,137.83,135.31,135.5,317206.0,136.037,2234
2021-07-30,135.29,137.07,135.29,136.6,308564.0,136.38,2534
2021-08-02,137.05,138.57,135.7,135.87,503727.0,136.373,3817
2021-08-03,136.48,137.9,135.28,137.81,229785.0,137.323,1966
2021-08-04,136.73,137.78,135.44,135.47,324802.0,136.164,2473
2021-08-05,136.31,137.36,135.06,137.3,381467.0,136.57,3043
2021-08-06,138.24,139.06,137.14,137.54,306392.0,137.732,2247
2021-08-09,136.93,137.42,135.28,136.36,290641.0,136.4,1797
2021-08-10,136.21,138.02,136.15,136.48,233422.0,137.017,1831
2021-08-11,136.65,137.81,136.21,137.17,218322.0,137.105,1867
2021-08-12,137.34,138.01,136.8,137.1,197385.0,137.376,1594
2021-08-13,136.89,138.24,136.82,138.01,205650.0,137.759,1541
2021-08-16,138.09,140.26,136.86,139.97,216066.0,139.563,1587
2021-08-17,139.38,140.15,138.12,140.09,502497.0,139.485,3225
2021-08-18,139.68,142.26,139.68,139.96,575529.0,141.079,4211
2021-08-19,138.51,140.75,138.34,140.22,278815.0,140.137,1775
2021-08-20,140.31,140.55,138.48,138.58,397572.0,139.373,2883
2021-08-23,139.34,139.73,138.65,139.09,374975.0,139.174,2760
2021-08-24,139.55,140.46,139.07,140.4,249345.0,140.028,1744
2021-08-25,140.82,141.84,140.01,141.14,249707.0,141.311,1941
2021-08-26,141.16,141.2,139.48,140.04,289625.0,140.15,1943
2021-08-27,140.92,142.16,140.92,141.49,196190.0,141.718,1626
2021-08-30,141.94,143.85,141.17,143.08,382175.0,143.003,2707
2021-08-31,143.0,144.74,142.9,143.99,561286.0,144.132,4184
2021-09-01,144.85,145.29,143.82,144.55,318611.0,144.526,2482
2021-09-02,145.13,147.86,144.89,147.71,407659.0,146.921,2452
2021-09-03,147.28,148.7,146.8,148.13,817451.0,147.894,4455
2021-09-07,147.78,148.03,142.65,143.15,1088092.0,144.869,5634
2021-09-08,142.68,145.03,141.27,144.85,576297.0,144.162,3503
2021-09-09,145.04,145.62,142.86,143.28,605139.0,144.015,3690
2021-09-10,147.49,148.33,144.4,144.56,728764.0,145.518,4603
2021-09-13,145.71,145.71,141.66,142.27,594438.0,142.476,3890
2021-09-14,142.51,142.52,139.02,139.56,827754.0,139.997,4803
2021-09-15,138.63,142.47,138.52,141.21,712431.0,140.815,4113
2021-09-16,141.6,142.3,140.85,141.2,389320.0,141.507,3005
2021-09-17,141.21,141.97,138.12,138.44,700610.0,139.711,4312
2021-09-20,136.08,137.89,135.56,137.26,279773.0,136.792,2292
2021-09-21,137.93,137.93,134.73,135.31,326389.0,135.381,2796
2021-09-22,136.36,137.45,135.73,136.37,235008.0,136.573,2018
2021-09-23,137.07,139.55,137.07,138.62,277673.0,138.758,2330
2021-09-24,138.31,139.5,137.14,137.34,221915.0,137.858,1942
2021-09-27,137.0,138.17,136.67,136.89,268357.0,137.399,2001
2021-09-28,136.01,137.57,133.88,134.59,283279.0,135.077,2248
2021-09-29,135.01,136.14,134.66,135.22,304576.0,135.467,2274
2021-09-30,136.08,136.61,132.07,132.18,509658.0,133.548,3759
2021-10-01,132.36,133.43,129.32,132.47,635552.0,131.726,4680
2021-10-04,131.59,133.04,129.19,130.26,659808.0,130.27,5185
2021-10-05,130.1,132.2,129.43,129.69,563936.0,130.529,4458
2021-10-06,127.73,129.57,127.14,129.32,463048.0,128.59,3361
2021-10-07,130.49,132.81,129.8,131.54,458140.0,131.98,3092
2021-10-08,131.34,132.11,130.35,131.45,429807.0,131.495,3357
2021-10-11,130.97,131.98,129.07,129.1,315419.0,130.425,2420
2021-10-12,129.4,130.61,127.99,128.36,324199.0,129.008,2510
2021-10-13,128.7,130.05,127.86,128.92,375190.0,128.992,2923
2021-10-14,130.09,132.59,128.72,132.36,262103.0,131.469,2192
2021-10-15,133.55,134.49,133.04,134.1,294714.0,134.031,2257
2021-10-18,132.86,135.14,132.64,134.83,246013.0,134.648,1680
2021-10-19,135.85,135.85,133.69,134.72,474311.0,134.531,3172
2021-10-20,135.25,137.64,135.06,136.85,358849.0,136.964,2435
2021-10-21,130.34,134.24,129.2,131.52,779620.0,131.623,5899
2021-10-22,132.11,135.0,132.11,133.52,528617.0,133.845,4397
2021-10-25,133.54,133.54,130.72,131.11,524657.0,131.638,3608
2021-10-26,131.2,131.94,129.47,129.49,502048.0,130.769,2969
2021-10-27,129.61,131.13,127.1,127.39,467115.0,128.525,3766
2021-10-28,128.11,129.05,127.35,127.95,519329.0,127.971,3392
2021-10-29,127.46,129.15,127.29,128.3,761618.0,128.399,5270
2021-11-01,128.83,130.88,128.46,129.87,460978.0,129.817,3481
2021-11-02,130.36,131.82,130.14,131.2,353411.0,131.237,2870
2021-11-03,130.51,132.34,128.98,129.39,860990.0,129.641,4759
2021-11-04,130.32,131.96,130.32,131.08,273374.0,131.312,1846
2021-11-05,131.97,132.66,131.04,131.41,316644.0,131.761,2049
2021-11-08,132.43,133.47,131.19,132.02,504995.0,132.159,2890
2021-11-09,131.61,133.17,131.13,132.97,229244.0,132.432,1755
2021-11-10,132.19,134.01,132.19,132.63,284295.0,133.164,2257
2021-11-11,132.63,133.5,131.65,132.41,198495.0,132.449,1547
2021-11-12,133.25,135.71,133.03,135.18,344607.0,134.654,2014
2021-11-15,135.58,135.69,133.62,134.04,192842.0,134.38,1430
2021-11-16,133.87,136.55,133.78,135.66,233221.0,135.717,1782
2021-11-17,135.26,136.75,134.67,136.47,331591.0,135.846,2328
2021-11-18,136.95,137.02,134.54,134.93,273789.0,135.184,1701
2021-11-19,135.21,136.67,133.74,133.8,266358.0,135.191,1952
2021-11-22,133.99,134.34,132.5,132.58,224883.0,133.291,1673
2021-11-23,132.24,132.93,130.54,132.04,244813.0,131.598,1845
2021-11-24,131.26,132.72,130.31,132.02,162090.0,131.677,1370
2021-11-26,129.86,131.61,128.18,129.37,188157.0,129.346,1539
2021-11-29,131.17,131.82,128.62,128.68,298639.0,129.409,2321
2021-11-30,127.73,127.73,123.23,123.64,552369.0,124.98,3995
2021-12-01,125.5,128.43,122.77,122.79,423640.0,125.711,3533
2021-12-02,123.52,128.75,123.52,128.43,458230.0,127.736,3820
2021-12-03,128.98,129.98,127.6,129.22,396965.0,128.702,2968
2021-12-06,130.64,133.13,129.13,131.6,507246.0,131.773,4093
2021-12-07,132.31,133.74,130.92,131.74,313245.0,132.181,2109
2021-12-08,127.54,132.62,127.54,132.48,455363.0,131.055,3261
2021-12-09,132.04,132.42,130.86,130.89,227598.0,131.584,1701
2021-12-10,131.28,132.11,130.1,131.06,213933.0,131.243,1696
2021-12-13,131.4,131.4,129.52,130.46,220649.0,130.575,1647
2021-12-14,129.81,131.31,128.75,129.63,256760.0,129.859,1745
2021-12-15,129.87,130.53,128.04,130.36,402478.0,129.371,2908
2021-12-16,131.14,132.39,130.25,131.62,351959.0,131.432,2838
2021-12-17,132.03,132.03,127.71,127.89,336628.0,129.77,2059
2021-12-20,126.07,126.51,122.99,124.25,280502.0,123.977,2227
2021-12-21,125.38,126.89,124.82,126.36,224486.0,126.091,1714
2021-12-22,126.24,127.48,125.99,126.25,189952.0,126.676,1420
2021-12-23,126.63,127.98,126.63,127.28,210585.0,127.31,1658
2021-12-27,127.98,129.64,127.29,129.58,289228.0,128.576,2031
2021-12-28,129.45,131.25,129.45,131.06,162740.0,130.778,1263
2021-12-29,131.04,132.58,131.04,132.37,157056.0,132.14,1038
2021-12-30,132.9,133.05,131.37,131.56,216534.0,132.204,1573
2021-12-31,131.03,133.04,131.03,132.44,127339.0,132.299,973
2022-01-03,132.18,132.3,127.78,129.36,371781.0,128.932,2907
2022-01-04,130.36,132.84,130.31,132.4,220475.0,132.057,1582
2022-01-05,132.74,133.52,129.22,129.31,261828.0,131.044,2091
2022-01-06,129.34,129.73,127.84,128.07,276408.0,128.622,2329
2022-01-07,127.73,128.81,126.42,126.63,376763.0,127.423,2714
2022-01-10,125.58,126.05,122.32,125.09,534130.0,123.878,3998
2022-01-11,125.62,127.81,124.26,127.61,315417.0,126.573,1956
2022-01-12,128.41,129.37,127.12,127.58,343911.0,127.839,2328
2022-01-13,128.13,129.93,125.86,126.12,266748.0,127.02,1937
2022-01-14,124.56,125.61,121.77,124.46,339989.0,123.695,2350
2022-01-18,123.25,124.52,122.12,123.89,401005.0,123.556,2832
2022-01-19,124.35,125.21,122.74,122.93,358353.0,123.871,2527
2022-01-20,123.26,124.66,120.58,120.75,259276.0,122.745,1932
2022-01-21,120.9,122.62,119.65,121.28,376902.0,121.432,2645
2022-01-24,119.23,124.04,118.3,123.55,682361.0,121.364,4754
2022-01-25,121.19,121.93,118.75,120.68,376599.0,120.224,2951
2022-01-26,121.49,124.28,119.67,120.39,547215.0,121.917,3006
2022-01-27,121.7,123.37,119.34,120.51,390859.0,120.849,3173
2022-01-28,119.78,121.26,117.68,121.21,471563.0,119.316,3330
2022-01-31,120.36,122.86,119.77,122.73,329168.0,121.373,2693
2022-02-01,122.63,123.57,118.97,120.0,402417.0,120.093,3137
2022-02-02,120.31,122.0,119.08,120.18,403004.0,119.881,3030
2022-02-03,119.31,120.16,115.88,116.11,745223.0,117.129,5307
2022-02-04,116.14,120.0,115.59,119.25,905087.0,118.311,6269
2022-02-07,120.24,122.31,119.25,120.46,693424.0,120.836,4742
2022-02-08,120.72,122.55,119.99,121.72,266956.0,121.809,2056
